id,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum Number,ElementProperty|MagpieData maximum Number,ElementProperty|MagpieData range Number,ElementProperty|MagpieData mean Number,ElementProperty|MagpieData avg_dev Number,ElementProperty|MagpieData mode Number,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData minimum AtomicWeight,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mode AtomicWeight,ElementProperty|MagpieData minimum CovalentRadius,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData mode CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData maximum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData minimum NpValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData mode NpValence,ElementProperty|MagpieData minimum NdValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData mode NdValence,ElementProperty|MagpieData minimum NfValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData mode NfValence,ElementProperty|MagpieData minimum NValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData mode NValence,ElementProperty|MagpieData minimum NsUnfilled,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mode NsUnfilled,ElementProperty|MagpieData minimum NpUnfilled,ElementProperty|MagpieData maximum NpUnfilled,ElementProperty|MagpieData range NpUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData mode NpUnfilled,ElementProperty|MagpieData minimum NdUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData mode NdUnfilled,ElementProperty|MagpieData minimum NfUnfilled,ElementProperty|MagpieData maximum NfUnfilled,ElementProperty|MagpieData range NfUnfilled,ElementProperty|MagpieData mean NfUnfilled,ElementProperty|MagpieData avg_dev NfUnfilled,ElementProperty|MagpieData mode NfUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData minimum GSvolume_pa,ElementProperty|MagpieData maximum GSvolume_pa,ElementProperty|MagpieData range GSvolume_pa,ElementProperty|MagpieData mean GSvolume_pa,ElementProperty|MagpieData avg_dev GSvolume_pa,ElementProperty|MagpieData mode GSvolume_pa,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta,LatticeConstants|a,LatticeConstants|b,LatticeConstants|c,GlobalSymmetryFeatures|spacegroup_num,GlobalSymmetryFeatures|crystal_system_int
7548206,2,33,-0.197497,2,33,-0.197497,0.0,-2.16131120243911,5,45,40,26.6,17.28,5,59,84,25,69.2,8.16,59,10.811,102.9055,92.0945,60.47092,39.727936,10.811,84,142,58,114.2,24.16,84,2.04,2.28,0.24,2.164,0.0991999999999999,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,10,10,5.2,4.16,0,0,0,0,0.0,0.0,0,3,15,12,7.8,3.84,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,3,5,2,3.8,0.96,3,7.1725,22.175,15.0025,12.76,4.47,7.1725,1.6,1.0,5.2,0.0,0.205128205128205,0.128205128205128,0.666666666666667,0.0,0.878773636702086,0.178187175712809,3.11112403642537,2.78733648443341,13.609062315587,65,5
9706385,2,33,-0.197497,2,33,-0.197497,0.0,-2.13065158767774,5,44,39,26.2,16.96,5,56,84,28,68.0,9.6,56,10.811,101.07,90.259,59.73672,39.140576,10.811,84,146,62,115.8,25.44,84,2.04,2.2,0.16,2.132,0.0736000000000001,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,10,10,4.8,3.84,0,0,0,0,0.0,0.0,0,3,15,12,7.4,3.52,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,3,5,2,4.2,0.64,4,7.1725,22.175,15.0025,12.708,4.4284,7.1725,1.6,1.0,4.8,0.0,0.216216216216216,0.135135135135135,0.648648648648649,0.0,1.15957534907458,0.184561293402918,2.96652922885365,2.85838886192325,13.6145604112107,65,5
6703951,3,74,-0.220603,3,74,-0.220603,0.0,-2.19133192988063,5,74,69,38.2,28.64,5,51,84,33,66.0,12.0,51,10.811,183.84,173.029,92.84472,72.796224,10.811,84,162,78,122.2,31.84,84,2.04,2.36,0.32,2.196,0.1312,2.04,2,2,0,2.0,0.0,2,0,3,3,1.0,0.8,0,0,10,10,3.6,2.88,0,0,14,14,5.6,6.72,0,3,20,17,12.2,7.36,3,0,0,0,0.0,0.0,0,0,5,5,2.6,2.08,0,0,6,6,2.4,2.88,0,0,0,0,0,0,0,3,6,3,5.0,0.8,5,7.1725,22.175,15.0025,13.724,5.2412,7.1725,2.0,1.0,3.6,5.6,0.163934426229508,0.0819672131147541,0.295081967213115,0.459016393442623,1.18403184734597,0.187750550694611,3.06594743066679,3.07110220923553,12.4589954054752,65,5
5693807,3,42,-0.153347,3,42,-0.153347,0.0,-2.11507058863213,5,42,37,25.4,16.32,5,50,84,34,65.6,12.48,50,10.811,95.96,85.149,57.69272,37.505376,10.811,84,154,70,119.0,28.0,84,2.04,2.18,0.14,2.116,0.0608000000000001,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,10,10,4.0,3.2,0,0,0,0,0.0,0.0,0,3,15,12,6.6,3.36,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,5,5,2.0,2.4,0,0,0,0,0,0,0,3,6,3,5.0,0.8,5,7.1725,22.175,15.0025,13.58,5.126,7.1725,1.6,1.0,4.0,0.0,0.242424242424242,0.151515151515151,0.606060606060606,0.0,0.85765269823396,0.200490193411229,3.08285566742357,3.11971309844483,12.0089174845184,65,5
9245670,3,42,-0.153347,3,42,-0.153347,0.0,-2.14340752771899,5,82,77,35.2,24.16,5,50,81,31,65.0,12.0,50,10.811,207.2,196.389,84.1484,58.66992,10.811,84,154,70,124.4,32.32,84,2.04,2.33,0.29,2.146,0.0848000000000001,2.04,1,2,1,1.6,0.48,1,0,2,2,0.8,0.64,0,0,10,10,4.0,3.2,0,0,14,14,2.8,4.48,0,3,28,25,9.2,7.52,3,0,1,1,0.4,0.48,0,0,5,5,2.8,2.24,0,0,5,5,2.0,2.4,0,0,0,0,0,0,0,4,6,2,5.2,0.64,5,7.1725,28.11,20.9375,14.767,6.0756,7.1725,1.6,0.8,4.0,2.8,0.173913043478261,0.0869565217391304,0.434782608695652,0.304347826086956,15.195911322684,0.264762521262011,3.06734387757947,3.14108293758487,14.6577246090448,65,5
9605831,3,42,-0.153347,3,42,-0.153347,0.0,-2.1170074697076,5,42,37,21.8,16.16,5,50,83,33,65.4,12.32,50,10.811,95.96,85.149,48.9031524,37.64547808,10.811,84,154,70,116.6,29.92,84,2.04,2.19,0.15,2.118,0.0624000000000001,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,5,5,2.0,2.4,0,0,0,0,0.0,0.0,0,3,6,3,4.6,1.28,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,5,5,2.0,2.4,0,0,0,0,0,0,0,3,6,3,5.0,0.8,5,7.1725,22.5702380952,15.3977380952,13.65904761904,5.189238095232,7.1725,1.6,1.0,2.0,0.0,0.347826086956522,0.217391304347826,0.434782608695652,0.0,0.489509462814792,0.209236908423423,3.04670699571091,3.09189962588135,11.4221207898969,65,5
2541903,3,42,-0.153347,3,42,-0.153347,0.0,-2.18754758380055,5,42,37,22.0,16.0,5,50,88,38,66.4,13.12,50,10.811,95.96,85.149,49.1214,37.47088,10.811,84,154,70,116.2,30.24,84,2.04,2.58,0.54,2.196,0.1536,2.04,1,2,1,1.6,0.48,1,0,4,4,1.2,1.12,0,0,5,5,2.0,2.4,0,0,0,0,0.0,0.0,0,3,6,3,4.8,1.44,3,0,1,1,0.4,0.48,0,0,5,5,2.4,2.08,0,0,5,5,2.0,2.4,0,0,0,0,0,0,0,2,6,4,4.8,1.12,5,7.1725,25.786875,18.614375,14.302375,5.7039,7.1725,1.6,1.2,2.0,0.0,0.333333333333333,0.25,0.416666666666667,0.0,19078454.2565923,0.208181128439006,2.99073129233866,3.02124604386378,12.1267388961034,65,5
6895471,3,74,-0.220603,3,74,-0.220603,0.0,-2.22069059041416,5,82,77,48.0,34.4,5,51,81,30,65.4,11.52,51,10.811,207.2,196.389,119.3004,86.79152,10.811,84,162,78,127.6,34.88,84,2.04,2.36,0.32,2.226,0.1488,2.04,2,2,0,2.0,0.0,2,0,2,2,0.8,0.64,0,0,10,10,3.6,2.88,0,0,14,14,8.4,6.72,0,3,28,25,14.8,9.44,3,0,0,0,0.0,0.0,0,0,5,5,2.8,2.24,0,0,6,6,2.4,2.88,0,0,0,0,0,0,0,4,6,2,5.2,0.64,5,7.1725,28.11,20.9375,14.911,6.1908,7.1725,2.0,0.8,3.6,8.4,0.135135135135135,0.0540540540540541,0.243243243243243,0.567567567567568,4.0907816652663,0.263402454957875,3.0658688638151,3.12817445363328,15.0000743440876,65,5
4692830,2,15,-0.20608,2,15,-0.20608,0.0,-2.16329042847001,5,45,40,23.0,17.6,5,59,83,24,69.0,8.0,59,10.811,102.9055,92.0945,51.6813524,40.97931808,10.811,84,142,58,111.8,24.16,84,2.04,2.28,0.24,2.166,0.1008,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,8,8,3.2,3.84,0,0,0,0,0.0,0.0,0,3,9,6,5.8,2.56,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,3,5,2,3.8,0.96,3,7.1725,22.5702380952,15.3977380952,12.83904761904,4.533238095232,7.1725,1.6,1.0,3.2,0.0,0.275862068965517,0.172413793103448,0.551724137931034,0.0,0.619117358097741,0.18391049142992,3.04790114624795,3.02520835373877,11.8014287144413,65,5
4976231,2,15,-0.20608,2,15,-0.20608,0.0,-2.13260273709127,5,44,39,22.6,17.12,5,56,83,27,67.8,9.44,56,10.811,101.07,90.259,50.9471524,40.09827808,10.811,84,146,62,113.4,26.08,84,2.04,2.2,0.16,2.134,0.0752000000000001,2.04,1,2,1,1.6,0.48,1,0,3,3,1.0,0.8,0,0,7,7,2.8,3.36,0,0,0,0,0.0,0.0,0,3,8,5,5.4,2.08,3,0,1,1,0.4,0.48,0,0,5,5,2.6,2.08,0,0,3,3,1.2,1.44,0,0,0,0,0,0,0,3,5,2,4.2,0.64,4,7.1725,22.5702380952,15.3977380952,12.78704761904,4.491638095232,7.1725,1.6,1.0,2.8,0.0,0.296296296296296,0.185185185185185,0.518518518518518,0.0,0.718746967732753,0.191249486918778,2.99454168370259,2.8134089928706,12.5011741267224,65,5
1059674,3,74,-0.220603,3,74,-0.220603,0.0,-2.19333864746626,5,74,69,34.6,31.52,5,51,83,32,65.8,11.84,51,10.811,183.84,173.029,84.0551524,79.82787808,10.811,84,162,78,119.8,33.76,84,2.04,2.36,0.32,2.198,0.1296,2.04,2,2,0,2.0,0.0,2,0,3,3,1.0,0.8,0,0,4,4,1.6,1.92,0,0,14,14,5.6,6.72,0,3,20,17,10.2,7.84,3,0,0,0,0.0,0.0,0,0,5,5,2.6,2.08,0,0,6,6,2.4,2.88,0,0,0,0,0,0,0,3,6,3,5.0,0.8,5,7.1725,22.5702380952,15.3977380952,13.80304761904,5.304438095232,7.1725,2.0,1.0,1.6,5.6,0.196078431372549,0.0980392156862745,0.156862745098039,0.549019607843137,0.629539703883155,0.194888460581358,3.04123461487241,3.06762134203952,11.6544668351341,65,5
3254689,1,45,-0.154624,1,45,-0.154624,0.0,-2.19026765629007,5,82,77,36.4,25.12,5,59,81,22,68.6,7.68,59,10.811,207.2,196.389,86.9266,60.89248,10.811,84,146,62,119.6,28.48,84,2.04,2.33,0.29,2.194,0.1232,2.04,1,2,1,1.6,0.48,1,0,2,2,0.8,0.64,0,0,10,10,5.2,4.16,0,0,14,14,2.8,4.48,0,3,28,25,10.4,7.04,3,0,1,1,0.4,0.48,0,0,5,5,2.8,2.24,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,3,5,2,4.0,0.8,3,7.1725,28.11,20.9375,13.947,5.6652,7.1725,1.6,0.8,5.2,2.8,0.153846153846154,0.0769230769230769,0.5,0.269230769230769,3.82563274073974,0.262937277792971,3.12974784103819,3.1019840130516,14.2914952395466,65,5
